Order_ID,Order_Date,Order_Priority,Customer_ID,Product_Category,Product_Name,City,Ship_Mode,Ship_Date,Discount,Unit_Price,Quantity_ordered_new,Product_Base_Margin,Shipping_Cost,Sales,Profit
90193,13-12-2010,Not Specified,5,Furniture,Global Troy? Executive Leather Low-Back Tilter,San Gabriel,Delivery Truck,15-12-2010,0.02,500.98,12,0.6,26,6362.85,4390.3665
90197,12-05-2012,Low,5,Office Supplies,Xerox 1930,San Gabriel,Regular Air,21-05-2012,0.08,6.48,18,0.36,6.81,113.25,-141.26
90194,26-05-2011,High,6,Office Supplies,Kensington 6 Outlet MasterPiece? HOMEOFFICE Power Control Center,San Jose,Regular Air,26-05-2011,0.01,90.24,16,0.56,0.99,1515.17,1045.4673
90200,29-12-2012,Critical,6,Office Supplies,Xerox 21,San Jose,Regular Air,31-12-2012,0.07,6.48,4,0.37,6.6,28.61,-13.86
90200,29-12-2012,Critical,6,Office Supplies,*Staples* Highlighting Markers,San Jose,Regular Air,31-12-2012,0.01,4.84,17,0.52,0.71,83.45,57.5805
90200,29-12-2012,Critical,6,Technology,Accessory34,San Jose,Regular Air,31-12-2012,0.1,85.99,24,0.55,0.99,1705.08,1176.5052
87655,11-11-2011,High,23,Furniture,Nu-Dell Leatherette Frames,Laguna Hills,Regular Air,12-11-2011,0.05,14.34,36,0.49,5,519.23,284.526
87655,11-11-2011,High,23,Office Supplies,Xerox 1979,Laguna Hills,Regular Air,12-11-2011,0,30.98,37,0.4,8.74,1245.31,859.2639
87660,10-09-2012,Not Specified,23,Office Supplies,Xerox 1929,Laguna Hills,Express Air,13-09-2012,0.07,22.84,7,0.39,5.47,165.11,83.24
87669,18-11-2013,Low,23,Furniture,BPI Conference Tables,Laguna Hills,Delivery Truck,25-11-2013,0.1,146.05,11,0.71,80.2,1591.71,353.77216
87651,28-01-2010,High,24,Office Supplies,Xerox 194,Laguna Niguel,Regular Air,29-01-2010,0.06,55.48,1,0.37,14.3,67.49,-28.2968
87651,28-01-2010,High,24,Office Supplies,Newell 323,Laguna Niguel,Regular Air,30-01-2010,0.02,1.68,1,0.59,1.57,2.25,-5.3072
87656,02-03-2012,Not Specified,24,Technology,V70,Laguna Niguel,Regular Air,04-03-2012,0.07,205.99,13,0.59,2.5,2159.19,1489.8411
87662,19-12-2012,High,24,Office Supplies,Boston 1730 StandUp Electric Pencil Sharpener,Laguna Niguel,Regular Air,20-12-2012,0.06,21.38,5,0.59,8.99,105.99,-23.415
87663,13-01-2013,Critical,24,Office Supplies,Harmony HEPA Quiet Air Purifiers,Laguna Niguel,Regular Air,14-01-2013,0.07,11.7,8,0.5,6.96,89.77,-88.102
87657,18-04-2012,High,25,Technology,"Imation 3.5"" IBM-Formatted Diskettes, 10/Pack",Lake Elsinore,Regular Air,20-04-2012,0.02,5.98,1,0.68,3.85,7.12,-27.13
87657,18-04-2012,High,25,Office Supplies,Xerox 1992,Lake Elsinore,Regular Air,20-04-2012,0.05,5.98,1,0.36,5.2,7.81,-10.58
87666,02-07-2013,Critical,25,Office Supplies,3M Office Air Cleaner,Lake Elsinore,Regular Air,04-07-2013,0.06,25.98,7,0.5,5.37,174.54,86.51776
87666,02-07-2013,Critical,25,Office Supplies,"Dual Level, Single-Width Filing Carts",Lake Elsinore,Regular Air,04-07-2013,0.05,155.06,12,0.59,7.07,1838.39,1268.4891
87658,27-06-2012,Medium,26,Office Supplies,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Lake Forest,Regular Air,29-06-2012,0.08,59.98,11,0.57,3.99,619.14,420.984
87667,02-09-2013,Not Specified,26,Office Supplies,Avery 498,Lake Forest,Express Air,03-09-2013,0,2.89,7,0.38,0.5,28.13,19.4097
87670,11-12-2013,High,26,Office Supplies,Avery 52,Lake Forest,Regular Air,12-12-2013,0.09,3.69,15,0.38,0.5,54.16,37.3704
87670,11-12-2013,High,26,Technology,V 3600 Series,Lake Forest,Regular Air,12-12-2013,0.06,65.99,3,0.58,8.99,170.67,-85.606752
87652,02-11-2010,Not Specified,27,Furniture,Eldon Image Series Black Desk Accessories,Lakewood,Regular Air,04-11-2010,0.04,4.14,12,0.49,6.6,54.78,8.894
87659,12-07-2012,Low,27,Office Supplies,Xerox 1880,Lakewood,Regular Air,14-07-2012,0.1,35.44,4,0.38,19.99,142.51,-47.01
87659,12-07-2012,Low,27,Office Supplies,Xerox 194,Lakewood,Regular Air,17-07-2012,0.06,55.48,9,0.37,14.3,502.47,346.7043
87661,26-10-2012,Critical,27,Furniture,"6"" Cubicle Wall Clock, Black",Lakewood,Express Air,26-10-2012,0,8.09,23,0.49,7.96,204.57,-171.2664
87661,26-10-2012,Critical,27,Furniture,Coloredge Poster Frame,Lakewood,Regular Air,28-10-2012,0.06,14.2,11,0.46,5.3,161.11,33.4144
87668,02-11-2013,Not Specified,27,Technology,SC-3160,Lakewood,Regular Air,04-11-2013,0.01,65.99,29,0.59,8.99,1730.04,847.943712
87653,22-01-2011,High,28,Office Supplies,Newell 346,Lancaster,Regular Air,23-01-2011,0.06,2.88,1,0.56,0.7,3.41,-2.2072
87665,14-04-2013,Critical,28,Office Supplies,Holmes Harmony HEPA Air Purifier for 17 x 20 Room,Lancaster,Regular Air,16-04-2013,0.07,225.04,1,0.42,11.79,226.03,28.81
87654,30-01-2011,Not Specified,29,Technology,StarTAC Series,Lawndale,Regular Air,01-02-2011,0.08,65.99,3,0.55,3.9,164.1,-120.52304
87664,30-01-2013,Not Specified,29,Office Supplies,Avery 481,Lawndale,Regular Air,31-01-2013,0.08,3.08,1,0.37,0.99,3.85,-1.6864
87948,02-05-2012,Critical,65,Technology,iDEN i550,Mountain View,Regular Air,03-05-2012,0.01,205.99,13,0.6,19.99,2395.13,1312.038
87948,02-05-2012,Critical,66,Office Supplies,Multimedia Mailers,Murrieta,Regular Air,04-05-2012,0.09,162.93,14,0.39,19.99,2104.26,1451.9394
87951,12-06-2013,Not Specified,66,Office Supplies,"Black Print Carbonless Snap-Off? Rapid Letter, 8 1/2"" x 7""",Murrieta,Regular Air,13-06-2013,0.06,9.11,15,0.4,2.15,138.23,95.3787
87946,02-01-2010,Low,67,Office Supplies,"Dual Level, Single-Width Filing Carts",Napa,Regular Air,09-01-2010,0.05,155.06,8,0.59,7.07,1225.6,845.664
87949,02-01-2013,Low,67,Furniture,Hon 4070 Series Pagoda? Armless Upholstered Stacking Chairs,Napa,Delivery Truck,02-01-2013,0,291.73,1,0.56,48.8,309.77,-239.4192
87949,02-01-2013,Low,67,Furniture,Hon Valutask? Swivel Chairs,Napa,Delivery Truck,04-01-2013,0.07,100.98,12,0.69,45,1139.49,-1301.814
87950,12-03-2013,Medium,67,Office Supplies,Ibico Ibimaster 300 Manual Binding System,Napa,Regular Air,14-03-2013,0.1,367.99,9,0.4,19.99,3129.76,2159.5344
87950,12-03-2013,Medium,67,Office Supplies,Storex DuraTech Recycled Plastic Frosted Binders,Napa,Regular Air,14-03-2013,0.1,4.24,5,0.35,5.41,21.27,-67.459
90596,03-06-2010,Low,87,Office Supplies,Fellowes Super Stor/Drawer? Files,Vacaville,Regular Air,08-06-2010,0.05,161.55,19,0.66,19.99,3127.69,1892.424
90597,22-09-2010,High,87,Office Supplies,Avery 493,Vacaville,Regular Air,23-09-2010,0.09,4.91,9,0.36,0.5,41.82,28.8558
90597,22-09-2010,High,87,Furniture,Hon 94000 Series Round Tables,Vacaville,Delivery Truck,25-09-2010,0.01,296.18,9,0.76,54.12,2875.72,173.48
90599,15-04-2013,Medium,87,Furniture,Flat Face Poster Frame,Vacaville,Regular Air,17-04-2013,0.05,18.84,13,0.43,3.62,247.57,170.8233
87181,07-02-2012,Not Specified,90,Office Supplies,Belkin OmniView SE Rackmount Kit,Vacaville,Express Air,07-02-2012,0.1,35.48,10,0.85,35,340.42,-1191.13
87175,17-05-2010,High,91,Office Supplies,Prismacolor Color Pencil Set,Vallejo,Regular Air,18-05-2010,0.07,19.84,9,0.44,4.1,170.8,117.852
87176,18-08-2010,Medium,91,Office Supplies,Array? Memo Cubes,Vallejo,Regular Air,20-08-2010,0.05,5.18,10,0.36,2.04,53.54,34.0104
87177,04-09-2010,Medium,91,Technology,2180,Vallejo,Regular Air,06-09-2010,0.06,175.99,23,0.57,8.99,3363.53,2031.507
87181,07-02-2012,Not Specified,91,Technology,US Robotics 56K V.92 External Faxmodem,Vallejo,Regular Air,07-02-2012,0.07,99.99,3,0.52,19.99,307.29,-95.52
87181,07-02-2012,Not Specified,91,Office Supplies,"Boston School Pro Electric Pencil Sharpener, 1670",Vallejo,Regular Air,09-02-2012,0.08,30.98,13,0.58,8.99,373.01,19.57
87182,08-09-2012,Low,91,Furniture,Eldon? Wave Desk Accessories,Vallejo,Express Air,10-09-2012,0.05,2.08,3,0.43,5.33,13.66,-5.87
87182,08-09-2012,Low,91,Office Supplies,"Decoflex Hanging Personal Folder File, Blue",Vallejo,Express Air,13-09-2012,0.08,15.42,21,0.58,10.68,314.17,-231.34
90670,11-04-2012,Critical,122,Technology,Imation DVD-RAM discs,Visalia,Regular Air,13-04-2012,0.02,35.41,14,0.43,1.99,495.54,341.9226
90670,11-04-2012,Critical,122,Office Supplies,"SAFCO Mobile Desk Side File, Wire Frame",Visalia,Regular Air,12-04-2012,0.01,42.76,7,,6.22,315.85,217.9365
90671,30-04-2012,Medium,122,Technology,Belkin MediaBoard 104- Keyboard,Visalia,Regular Air,01-05-2012,0.08,27.48,1,0.75,4,26.28,-103.23
90672,30-08-2013,High,122,Office Supplies,"Wilson Jones Hanging View Binder, White, 1""",Visalia,Regular Air,31-08-2013,0.1,7.1,23,0.39,6.05,160.29,-48.41868
90672,30-08-2013,High,122,Technology,Hewlett-Packard 2600DN Business Color Inkjet Printer,Visalia,Delivery Truck,30-08-2013,0.01,119.99,8,0.39,56.14,1006.9,-41.7350832
88534,16-11-2010,Critical,136,Office Supplies,Xerox 1939,Petaluma,Regular Air,17-11-2010,0.04,18.97,5,0.37,9.54,101.74,3.04
88534,16-11-2010,Critical,136,Office Supplies,Fiskars? Softgrip Scissors,Petaluma,Regular Air,17-11-2010,0.09,10.98,8,0.57,3.37,84.52,2.706
88538,02-05-2013,High,136,Office Supplies,Xerox 1977,Petaluma,Regular Air,02-05-2013,0.06,6.68,8,0.37,5.2,52.97,-38.57
88539,16-11-2013,Critical,136,Office Supplies,Newell 340,Petaluma,Regular Air,19-11-2013,0.02,2.88,44,0.56,0.7,134.75,76.31008
91091,14-01-2011,Critical,141,Office Supplies,Acme? Box Cutter Scissors,Visalia,Regular Air,15-01-2011,0.07,10.23,2,0.59,4.68,20.45,-30.8512
91093,24-01-2012,Not Specified,141,Office Supplies,"Peel & Seel? Recycled Catalog Envelopes, Brown",Visalia,Regular Air,26-01-2012,0.06,11.58,12,0.35,6.97,135.14,-15.7108
38087,21-02-2010,Critical,181,Technology,Zoom V.92 USB External Faxmodem,San Francisco,Regular Air,21-02-2010,0.02,49.99,18,0.41,19.99,901.81,-76.89
3585,22-11-2010,High,181,Office Supplies,Newell 323,San Francisco,Regular Air,23-11-2010,0.07,1.68,116,0.59,1.57,186.59,-35.75
12643,19-03-2011,Low,181,Office Supplies,White GlueTop Scratch Pads,San Francisco,Regular Air,21-03-2011,0.02,15.04,22,0.39,1.97,345.69,143.23
23271,03-11-2011,High,181,Technology,"Hewlett-Packard Business Color Inkjet 3000 [N, DTN] Series Printers",San Francisco,Delivery Truck,04-11-2011,0.09,808.49,3,0.4,55.3,2383.74,-1748.3433
25669,16-01-2012,Critical,181,Office Supplies,Avery 487,San Francisco,Regular Air,16-01-2012,0.02,3.69,13,0.38,0.5,49.43,6.168
42213,21-03-2012,Critical,181,Office Supplies,Avery 494,San Francisco,Regular Air,23-03-2012,0.08,2.61,52,0.39,0.5,125.43,35.92
3585,22-11-2013,High,181,Office Supplies,Riverleaf Stik-Withit? Designer Note Cubes?,San Francisco,Regular Air,22-11-2013,0.07,10.06,97,0.39,2.06,933.07,78.05
7751,23-12-2013,Not Specified,181,Furniture,Global Deluxe Office Fabric Chairs,San Francisco,Delivery Truck,24-12-2013,0.01,95.98,90,0.58,58.2,9095.8,-768.14
89282,21-01-2012,Low,207,Technology,Logitech Access Keyboard,Petaluma,Regular Air,21-01-2012,0.01,15.98,7,0.37,4,120.68,83.2692
89283,01-03-2013,Not Specified,208,Furniture,Eldon Wave Desk Accessories,Pico Rivera,Regular Air,03-03-2013,0,5.89,1,0.41,5.57,11.7,-8.06
88530,11-01-2012,Critical,223,Furniture,"O'Sullivan Elevations Bookcase, Cherry Finish",Pico Rivera,Delivery Truck,13-01-2012,0.01,130.98,13,0.69,54.74,1734.25,-1021.946
88530,11-01-2012,Critical,223,Technology,Microsoft Multimedia Keyboard,Pico Rivera,Regular Air,11-01-2012,0.02,30.97,6,0.74,4,197.72,-19.902
89294,13-02-2012,Medium,274,Furniture,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",San Jose,Delivery Truck,14-02-2012,0.06,100.98,8,0.78,57.38,783.96,-1231.98
